,WorkerID,CommitNumber,T0,T1,deltaT,Complexity
96,2,fc969baeeab385bba9f4fb60d13b9f60cd2277f1,28.748961777967082,29.014002686905492,0.2650409089384098,307
97,1,1670c870e07fe64b120e157b470aed75b5f90833,28.78296418772163,29.011424089085068,0.22845990136343985,307
98,1,26c248157fc641b4f44f45f62713b7cc1af92f8b,29.014920931752307,29.311736832047984,0.2968159002956767,286
99,2,4dd200a505debab4af8f1754729a8c0db742eaa5,29.017355848687252,29.33050432720149,0.3131484785142362,307
100,1,3da890c9fbd0ea9663cede46acd51c962550de79,29.314685572251065,29.538875525675117,0.22418995342405168,307
101,2,a830515e7abcafb2bcb49da21623debd4a3b955e,29.333864053084618,29.549777404029193,0.2159133509445752,307
102,1,df477758422abfed86151016f654bdecab6acdb1,29.542018636213125,29.780908165304496,0.23888952909137018,307
103,2,b8f2e1cfeaed186304c296d6974000804824ed83,29.552591580154242,29.81323052978133,0.26063894962708645,307
104,1,867a68551de0294c6416460ed5d8abc395d2c745,29.784395891164284,29.997662085896373,0.21326619473208908,307
105,2,e1b345dd5a7871895c405bfbd6a79af1659dde12,29.816171611866146,30.043952128738074,0.22778051687192757,307
106,1,26157c6abd66b0a7f3abfb288a1147fdd600c923,30.001441549594702,30.277596576164726,0.27615502657002367,307
107,2,841df6248b06cb7b787959097cff4080a333896e,30.047280857475855,30.31837022115187,0.27108936367601544,307
108,1,ce938908d35443b2dc32dc3b41c158da95b40a57,30.282029897293693,30.53134540739001,0.24931551009631647,307
109,2,cb0de3a468083286667c1cc4976569ca4db637e6,30.32136053399694,30.561562518689456,0.24020198469251497,284
110,1,f1ea5e5ef7f89cce70882db4993f1a728e192e45,30.534989942338015,30.783284369999432,0.24829442766141696,284
111,2,85001747cdc459976979e042b2a495462e3ef628,30.565378084945305,30.829157592404314,0.26377950745900947,284
112,1,f610c27363362b3e676b888015a47c83bc70fc7a,30.786159811070576,31.024998286040198,0.23883847496962218,307
113,2,3d2f87297c947d240c0daffbdee2422215108b49,30.832784258409706,31.094410011275667,0.26162575286596024,307
114,1,5d7ad8a3005858d7259f53dc0ca8792a7c48ca51,31.02787008038836,31.283994022291687,0.25612394190332566,307
115,2,ebae31565e063392ca21126fe4b5676b0c46c77f,31.09816504193002,31.329530652165353,0.23136561023533275,305
116,1,002ec8ddb46913a900f783bdfdc33b5b0367b12b,31.287503628489368,31.539613622406634,0.25210999391726574,284
